Yorum Kimliği,Kanal Kimliği,Yorumun Oluşturulma Zaman Damgası,Fiyat,Ana Yorum Kimliği,Yayın Kimliği,Video Kimliği,Yorum Metni
UgzFsD6bn_21jIVNyml4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2024-04-01T20:27:20.170402+00:00,0,,,LW0yhZgqBic,"{""text"":""Galadriel wins again i guess...""}"
UgyuHk4upRGRfzqQBo14AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2023-09-12T20:17:57.088618+00:00,0,,,7xY7M11qKvo,"{""text"":""where the f is midbeast""}"
Ugy62mcdyKk4g0TenxF4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2023-05-26T13:36:23.146063+00:00,0,,,g_9JUsCOC24,"{""text"":""Comment of the day is overrated.""}"
Ugx_4x1iXMcTjC8dYVl4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2022-09-06T11:37:37.149567+00:00,0,,,dbOF1laAc1g,"{""text"":""Keep up the good work m8.""}"
UgznFJRHZEHvGYz5BGF4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2022-08-30T16:26:53.25554+00:00,0,,,r7aAueEvWYQ,"{""text"":""Sasuga Ainz-sama""}"
UgwGuHzKaEfJltHubNZ4AaABAg.9envsGTrfDH9enw5SseYYA,UCry3eXbFKOY0CzhAHIp3Qhg,2022-08-16T21:03:26.360775+00:00,0,UgwGuHzKaEfJltHubNZ4AaABAg,UgkxKA9q0WeGt7UkT56RldJUpfWSvtzbG__h,,"{""text"":""Engage Kiss""}"
Ugx7AEdbP86QQ9TU2Dx4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2022-04-06T11:57:04.766973+00:00,0,,,WY1zdPps-dQ,"{""text"":""Bu videoyu editleyen kişinin en güzel yerinden öpmek lazım""}"
UgxsEpYuwFYYQpyIup14AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2021-10-09T20:14:43.070926+00:00,0,,UgxAIyCn3sUQdiFrDdp4AaABCQ,,"{""text"":""whole package haa.. what else a guy want more?""}"
UgwoKMScqrL2SZDX62p4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2021-09-18T10:55:06.158808+00:00,0,,,H8I1JKGQOvU,"{""text"":""234. beğeni çekiliş için teşekkürler""}"
UgxWnt4-PEOFpVrk2zN4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2021-07-10T09:14:21.835319+00:00,0,,,omHvdgyYKE8,"{""text"":""Eski saatler bakılması, iyileştirilmesi lâzım gelen temiz yüzlü, iyi yürekli hastalardı ve kitaplar, iyi ciltlenince, birdenbire gençleşiyor, güzel giyinmiş kadınlara benziyorlardı.\r""},{""text"":""\n""},{""text"":""Mahur Beste, Ahmet Hamdi Tanpınar""}"
Ugy71ZrxfzSHyRL6c2Z4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2021-06-19T15:22:42.510777+00:00,0,,,AEc3TC0xi2U,"{""text"":""Neden hep korktuğum işler başıma geliyordu?\r""},{""text"":""\n""},{""text"":""\r""},{""text"":""\n""},{""text"":""Korkuyu Beklerken, Oğuz Atay""}"
UgzKvTgc0KaKcAW1Zxp4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2021-06-11T17:44:53.355338+00:00,0,,,gIC3MFdOJms,"{""text"":""Dwight:Seems like you already know where. ""},{""text"":""\n""},{""text"":""The reaction of Oscar is priceless.""}"
Ugy51jpBMeY7ScZuXJx4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2021-06-03T12:48:39.750039+00:00,0,,,nhn7MTRFRXE,"{""text"":""Bailor I hardly know her. ""},{""text"":""0:46"",""videoLink"":{""externalVideoId"":""nhn7MTRFRXE"",""startTimeSeconds"":46}}"
UgzNYWZ8AlhzDsjHvcB4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2021-05-29T11:26:29.536336+00:00,0,,,b90C7YTBcRA,"{""text"":""33:23"",""videoLink"":{""externalVideoId"":""b90C7YTBcRA"",""startTimeSeconds"":2003}},{""text"":"" Hocam napıyorsunuz ya duş aldık :D""}"
UgzOAI85x9IkB6mqq6p4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2021-05-23T12:54:55.65699+00:00,0,,Ugw0APHIB_YpFa94JOR4AaABCQ,,"{""text"":""I wanna be basara in issei's body. Perfect combination. Endless joy..""}"
UgzZdJ6CIG--3hFmwdR4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2021-01-25T15:36:28.846522+00:00,0,,,5cQPRRzG6Ww,"{""text"":""Kahkaha atarak dizi incelemesi izledim valla""}"
UgwdtlMMD_mDBjVBiah4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2020-06-25T17:25:06.677787+00:00,0,,,XEJLuJyxLDE,"{""text"":""that outfit tho""}"
UgwrNuylKBAKwiF8f6J4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2020-06-06T15:24:55.664098+00:00,0,,,hoFgIGBIcV4,"{""text"":""Merhabalar hocam, tüm konular için genel bir soru çözüm videoları yapacak mısınız acaba? Özellikle final sınavlarında çıkacak tarzda sorular. Mesela ben bu tarzda sorular çözüyorum. ""},{""text"":""https://www.fizik.itu.edu.tr/physics-10x/doc/FIZ102E_f.pdf"",""link"":{""linkUrl"":""https://www.fizik.itu.edu.tr/physics-10x/doc/FIZ102E_f.pdf""}}"
Ugxaee9dV6nfR9lJ3Pl4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2020-05-30T16:50:20.818982+00:00,0,,,YE0fSrO4lDI,"{""text"":""Hocam yan dal tarih öğretmenliği yakışır.""}"
UgyQAmFbx07-nluOMcF4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2020-05-13T17:26:09.469411+00:00,0,,,wyodh5Ecp10,"{""text"":""Merhabalar hocam,""},{""text"":""\n""},{""text"":""İtü 'de okuyorum ve söylemeliyim fizikte türkçe anlatımda çoğu hocaya taş çıkartırsınız ve  youtube da ise birincisiniz. Yeni videolarınızı sabırsızlıkla bekliyorum. Koronasız günler dilerim.""}"
UgzmQjnSwMf6XY2n4oZ4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2020-05-02T19:39:29.537611+00:00,0,,,s8soCBrH9Os,"{""text"":""Very good high quality video man. Wish to see more of your videos""}"
Ugwzgqgx0M5-x_bbmux4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2019-05-30T05:36:16.726799+00:00,0,,,IN1zSzCoQ7I,"{""text"":""Bütün yaz bu bölüm aklımıza gelip kara kara düşüncez ne oldu dila öldümü (öldüyse ki ölmesi diziyi baya baltalar) diğer sezon ne olacak sağolun gerçekten""}"
UgzuxgJImo3tKQtOnlF4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2019-05-27T19:04:15.109372+00:00,0,,,nIZ0iP79dgA,"{""text"":""Bence dila oradaki adamların hepsini öldürmüş olamaz yardım almıştır behramı sadece kendi öldürmek istemiştir kuzgunda dila katil olmasın diye kendi dedesini vuracakmış gibi geldi bana sonuçta dilayı vuramaz bu sebepten buralara gelindi sonuçta""}"
Ugy4lmR2kRKXMYupXeZ4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2019-05-25T09:43:14.025094+00:00,0,,,xd6cuKOgXY4,"{""text"":""Ali ölür,dünyada bir çamurdan kurtulur-Kuzgun Cebeci    bu bölüm bunu yaşıyacaz anlaşılan""}"
UgwIrJ-IdIgiJ1m_JBJ4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2019-05-20T20:17:22.557189+00:00,0,,,WGvhZXn1G0Y,"{""text"":""Fotoğrafta kuzgunun babasının yanındaki kim acaba çok merak ettim""}"
Ugw_zpevTZXtGV4YoXN4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2019-05-17T18:09:49.157007+00:00,0,,,xbE9M2-wpI8,"{""text"":""2 hafta sonra ne izlicez biz ayıp ediyorsunuz""}"
UgyBw7nahTULe03Hgnx4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2019-05-13T17:22:58.203262+00:00,0,,,hLfgR6C50rM,"{""text"":""Kuzgun çok sinirlenmiş geri dönüşü olmayan kararlar vericek anlaşılan""}"
UgyNbphwXaU3_qMaz9N4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2019-05-03T18:44:09.340112+00:00,0,,,D8ItP9UYYkw,"{""text"":""Bugün fragman günüydü ya fragmanımızı isteriz""}"
Ugw7BuzBLh6DIWZUM-h4AaABAg,UCry3eXbFKOY0CzhAHIp3Qhg,2019-04-30T16:42:57.126408+00:00,0,,,_syxJ2kNNNs,"{""text"":""Valla bir günde nerdeyse tüm bölümleri izledim, güzel bol gerilimli oyunmuş bölümleri art arda ve eksiksiz eklediğin için çok teşekkürler pandacım seviliyorsun""}"
